"행정구역","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_0~9세","2021년10월_계_10~19세","2021년10월_계_20~29세","2021년10월_계_30~39세","2021년10월_계_40~49세","2021년10월_계_50~59세","2021년10월_계_60~69세","2021년10월_계_70~79세","2021년10월_계_80~89세","2021년10월_계_90~99세","2021년10월_계_100세 이상","2021년10월_남_총인구수","2021년10월_남_연령구간인구수","2021년10월_남_0~9세","2021년10월_남_10~19세","2021년10월_남_20~29세","2021년10월_남_30~39세","2021년10월_남_40~49세","2021년10월_남_50~59세","2021년10월_남_60~69세","2021년10월_남_70~79세","2021년10월_남_80~89세","2021년10월_남_90~99세","2021년10월_남_100세 이상","2021년10월_여_총인구수","2021년10월_여_연령구간인구수","2021년10월_여_0~9세","2021년10월_여_10~19세","2021년10월_여_20~29세","2021년10월_여_30~39세","2021년10월_여_40~49세","2021년10월_여_50~59세","2021년10월_여_60~69세","2021년10월_여_70~79세","2021년10월_여_80~89세","2021년10월_여_90~99세","2021년10월_여_100세 이상"
"전국  (0000000000)","51,662,290","51,662,290","3,792,548","4,721,726","6,691,903","6,739,933","8,169,827","8,622,455","7,124,259","3,710,920","1,817,189","261,241","10,289","25,760,238","25,760,238","1,944,180","2,438,376","3,511,372","3,478,862","4,152,565","4,359,713","3,489,422","1,679,626","646,176","57,847","2,099","25,902,052","25,902,052","1,848,368","2,283,350","3,180,531","3,261,071","4,017,262","4,262,742","3,634,837","2,031,294","1,171,013","203,394","8,190"
"서울특별시  (1100000000)","9,532,428","9,532,428","590,061","760,182","1,430,877","1,442,893","1,486,100","1,507,444","1,283,216","696,346","291,651","41,430","2,228","4,630,630","4,630,630","303,009","389,543","689,280","720,614","736,322","742,615","606,204","317,028","114,953","10,482","580","4,901,798","4,901,798","287,052","370,639","741,597","722,279","749,778","764,829","677,012","379,318","176,698","30,948","1,648"
"부산광역시  (2600000000)","3,356,311","3,356,311","221,729","266,634","419,064","407,480","502,715","555,902","547,730","296,893","122,286","15,197","681","1,642,368","1,642,368","113,771","137,336","217,496","208,912","253,605","270,760","258,529","134,136","44,446","3,243","134","1,713,943","1,713,943","107,958","129,298","201,568","198,568","249,110","285,142","289,201","162,757","77,840","11,954","547"
"대구광역시  (2700000000)","2,390,721","2,390,721","169,417","219,348","312,144","286,283","373,251","419,894","340,970","177,181","81,934","9,939","360","1,178,486","1,178,486","86,775","114,392","166,160","150,026","184,278","205,661","162,305","77,699","28,993","2,133","64","1,212,235","1,212,235","82,642","104,956","145,984","136,257","188,973","214,233","178,665","99,482","52,941","7,806","296"
"인천광역시  (2800000000)","2,945,009","2,945,009","219,048","271,373","392,367","401,716","480,366","510,057","395,798","178,951","81,974","12,848","511","1,474,536","1,474,536","112,362","139,509","204,435","207,990","246,041","254,827","196,006","81,965","28,577","2,706","118","1,470,473","1,470,473","106,686","131,864","187,932","193,726","234,325","255,230","199,792","96,986","53,397","10,142","393"
"광주광역시  (2900000000)","1,442,454","1,442,454","114,681","152,923","207,723","181,847","236,350","235,025","171,161","94,302","42,169","6,028","245","713,483","713,483","58,829","79,143","108,373","93,104","117,445","116,640","81,641","41,862","15,104","1,311","31","728,971","728,971","55,852","73,780","99,350","88,743","118,905","118,385","89,520","52,440","27,065","4,717","214"
"대전광역시  (3000000000)","1,454,228","1,454,228","108,388","142,897","210,578","190,062","231,511","240,082","189,446","92,247","42,726","6,093","198","725,742","725,742","55,738","73,895","110,358","99,571","115,348","119,969","91,878","42,039","15,516","1,393","37","728,486","728,486","52,650","69,002","100,220","90,491","116,163","120,113","97,568","50,208","27,210","4,700","161"
"울산광역시  (3100000000)","1,122,566","1,122,566","92,945","110,168","138,484","145,773","183,982","206,954","154,649","62,473","23,845","3,205","88","576,723","576,723","47,768","57,850","78,125","77,521","94,080","105,071","77,844","29,827","8,081","545","11","545,843","545,843","45,177","52,318","60,359","68,252","89,902","101,883","76,805","32,646","15,764","2,660","77"
"세종특별자치시  (3600000000)","368,276","368,276","46,988","45,193","38,180","61,258","71,910","48,087","33,152","14,694","7,488","1,287","39","183,879","183,879","23,955","22,766","19,567","29,844","36,446","25,178","16,447","6,845","2,556","266","9","184,397","184,397","23,033","22,427","18,613","31,414","35,464","22,909","16,705","7,849","4,932","1,021","30"
"경기도  (4100000000)","13,549,577","13,549,577","1,106,832","1,324,001","1,805,465","1,899,458","2,292,775","2,265,783","1,655,342","772,601","370,378","54,708","2,234","6,820,025","6,820,025","566,395","680,108","951,808","982,214","1,166,569","1,148,042","823,516","352,051","135,901","12,898","523","6,729,552","6,729,552","540,437","643,893","853,657","917,244","1,126,206","1,117,741","831,826","420,550","234,477","41,810","1,711"
"강원도  (4200000000)","1,537,717","1,537,717","101,658","134,400","175,880","162,862","219,415","264,460","258,240","132,968","75,824","11,553","457","774,008","774,008","51,988","69,806","99,042","85,789","112,450","136,499","128,852","59,829","27,102","2,545","106","763,709","763,709","49,670","64,594","76,838","77,073","106,965","127,961","129,388","73,139","48,722","9,008","351"
"충청북도  (4300000000)","1,596,948","1,596,948","117,903","146,758","195,227","191,363","236,996","270,478","239,916","119,853","68,636","9,500","318","810,093","810,093","60,245","76,203","108,726","102,044","122,755","139,337","120,481","54,430","23,740","2,069","63","786,855","786,855","57,658","70,555","86,501","89,319","114,241","131,141","119,435","65,423","44,896","7,431","255"
"충청남도  (4400000000)","2,118,977","2,118,977","164,417","200,923","238,870","260,636","325,285","339,646","297,973","172,113","103,372","15,230","512","1,083,133","1,083,133","84,182","104,329","132,097","140,454","173,349","180,330","149,593","78,854","36,297","3,558","90","1,035,844","1,035,844","80,235","96,594","106,773","120,182","151,936","159,316","148,380","93,259","67,075","11,672","422"
"전라북도  (4500000000)","1,789,770","1,789,770","120,964","170,807","207,837","183,205","260,450","298,603","267,130","171,004","94,656","14,619","495","890,378","890,378","62,077","88,475","112,469","94,583","133,922","155,135","132,178","76,195","32,067","3,199","78","899,392","899,392","58,887","82,332","95,368","88,622","126,528","143,468","134,952","94,809","62,589","11,420","417"
"전라남도  (4600000000)","1,834,653","1,834,653","125,113","163,576","194,535","179,444","252,631","312,220","283,553","191,173","114,784","17,048","576","923,037","923,037","63,759","84,670","108,946","94,367","134,765","168,244","143,325","84,976","36,562","3,360","63","911,616","911,616","61,354","78,906","85,589","85,077","117,866","143,976","140,228","106,197","78,222","13,688","513"
"경상북도  (4700000000)","2,627,925","2,627,925","180,301","222,349","277,409","281,227","377,048","454,444","430,951","243,375","140,156","20,017","648","1,324,128","1,324,128","92,810","116,727","157,167","150,415","196,429","235,682","214,830","109,584","46,331","4,063","90","1,303,797","1,303,797","87,491","105,622","120,242","130,812","180,619","218,762","216,121","133,791","93,825","15,954","558"
"경상남도  (4800000000)","3,318,161","3,318,161","253,545","319,894","365,973","383,275","527,641","578,807","490,895","249,027","130,242","18,362","500","1,670,394","1,670,394","130,428","166,864","204,289","200,594","271,640","296,187","244,019","111,452","41,406","3,426","89","1,647,767","1,647,767","123,117","153,030","161,684","182,681","256,001","282,620","246,876","137,575","88,836","14,936","411"
"제주특별자치도  (5000000000)","676,569","676,569","58,558","70,300","81,290","81,151","111,401","114,569","84,137","45,719","25,068","4,177","199","339,195","339,195","30,089","36,760","43,034","40,820","57,121","59,536","41,774","20,854","8,544","650","13","337,374","337,374","28,469","33,540","38,256","40,331","54,280","55,033","42,363","24,865","16,524","3,527","186"
